#FID IID PC1_AVG PC2_AVG PC3_AVG PC4_AVG PC5_AVG
HG00513 HG00513 0.00301614 -0.0291512 -0.0136948 0.008994 -0.00674844
HG00524 HG00524 0.00419516 -0.0321153 -0.00708805 0.00611999 -0.0183416
HG00525 HG00525 6.47939e-05 -0.0384651 0.00247835 0.0148501 -0.0127248
HG00530 HG00530 0.00071813 -0.0335339 -0.00719246 0.01055 -0.00190015
HG00531 HG00531 0.00707391 -0.0325432 -0.00494732 0.00211602 -0.0004971
HG00533 HG00533 0.00177189 -0.0300451 -0.0138716 -0.007402 -0.0214526
HG00534 HG00534 0.00253794 -0.0374083 -0.0354706 -0.00331388 -0.0310004
HG00536 HG00536 0.00546913 -0.0360685 0.00547203 0.00599306 -0.0235246
HG00537 HG00537 -0.00103336 -0.0354754 -0.00813796 0.0110531 -0.0114681
HG00542 HG00542 0.00290119 -0.0404592 -0.0104833 0.0224532 -0.100843
HG00543 HG00543 0.00871769 -0.0284927 -0.00155311 0.00130945 -0.0147427
HG00556 HG00556 0.000611223 -0.039428 0.0008178 0.00953388 -0.0159915
HG00557 HG00557 -0.00292765 -0.0408659 0.00222085 0.005533 -0.000395141
HG00559 HG00559 -0.00898641 -0.0243941 0.00659114 -0.000450464 0.00208842
HG00560 HG00560 -0.000722206 -0.0362991 0.0119247 0.000406402 0.00235448
HG00565 HG00565 -0.00161439 -0.0303691 -0.000615043 0.00094365 0.00728179
HG00566 HG00566 -0.000730673 -0.0322455 0.00394319 -0.000366877 1.08365e-05
HG00580 HG00580 -0.00428982 -0.0360066 -0.0311244 0.0017885 -0.0165411
HG00581 HG00581 -0.00125713 -0.047947 -0.056663 0.00493122 -0.064281
HG00583 HG00583 0.014069 -0.0182807 -0.0407484 -0.00861076 -0.0278574
HG00584 HG00584 -0.00444583 -0.0409399 -0.0457655 0.00798699 -0.0268299
HG00589 HG00589 0.000638315 -0.0318104 -0.0249642 -0.00683246 -0.0189755
HG00590 HG00590 0.00931806 -0.0224919 -0.0277921 -0.0102765 -0.0221421
HG00592 HG00592 -0.0259088 -0.0503284 0.0141215 0.0028409 0.0191448
HG00593 HG00593 -0.0013817 -0.0379257 0.0213961 0.00574664 0.00783956
HG00595 HG00595 -0.00304056 -0.0386499 -0.0082954 -0.00184106 -0.00746469
HG00596 HG00596 -0.00296093 -0.0295325 0.00135986 0.00155279 0.00450991
HG00598 HG00598 0.00283572 -0.0308614 0.0189598 -0.00835539 0.0216288
HG00599 HG00599 -0.00779398 -0.0355633 0.0137618 -0.00945769 0.0302255
HG00607 HG00607 0.000658042 -0.0387357 -0.0397535 0.00846696 -0.0527996
HG00608 HG00608 0.00157696 -0.0327609 -0.0234954 0.00267391 -0.0242632
HG00610 HG00610 -0.00219914 -0.0315662 -0.00402262 -0.000487903 0.000203448
HG00611 HG00611 -0.00368608 -0.03238 -0.00786826 0.00355994 0.00659908
HG00613 HG00613 -0.00153442 -0.0354111 -0.0440211 0.00307329 -0.0351963
HG00614 HG00614 8.58801e-05 -0.0385148 -0.0250023 0.0049946 -0.0217634
HG00619 HG00619 0.000725308 -0.037002 -0.0221201 -0.00245921 -0.0275387
HG00620 HG00620 0.00205453 -0.038197 -0.0319305 0.00285039 -0.0151364
HG00622 HG00622 0.0020301 -0.0337917 0.0202977 -0.0134408 0.0165953
HG00623 HG00623 -0.000283464 -0.0371837 0.0139687 -0.00499775 0.0197695
HG00625 HG00625 0.0108127 -0.0167815 -0.00301052 -0.00428255 0.00407898
HG00626 HG00626 -0.00306738 -0.0349936 -0.00379592 0.000232394 0.00619277
HG00628 HG00628 0.00193468 -0.0284736 0.00212845 0.00345962 0.00311015
HG00629 HG00629 -0.00258811 -0.0339101 -0.00605733 0.0192713 0.00518032
HG00631 HG00631 -0.00250505 -0.0400235 0.0229629 -0.0128621 0.0255091
HG00632 HG00632 0.00121739 -0.0343037 0.0207016 -0.000980984 -0.0095172
HG00634 HG00634 9.49441e-05 -0.0330417 -0.0118932 -0.00250813 0.0137222
HG00650 HG00650 0.0203353 -0.0183749 -0.0319842 -0.00297616 -0.0355886
HG00651 HG00651 0.0178136 -0.0188963 -0.0203455 0.00734626 -0.0176125
HG00653 HG00653 0.0175605 -0.0207734 -0.0407779 0.0031151 -0.0251829
HG00654 HG00654 0.0152915 -0.0232545 -0.0239726 0.00395551 -0.0327616
HG00656 HG00656 0.0193771 -0.0168349 -0.0488717 0.00552215 -0.0414914
HG00657 HG00657 0.014451 -0.0207285 -0.0427948 -0.00157965 -0.038139
HG00662 HG00662 0.0131148 -0.0230538 -0.0430548 -0.000513173 -0.0263814
HG00663 HG00663 0.0195314 -0.0169884 -0.0365073 0.00403382 -0.0312767
HG00671 HG00671 0.018082 -0.0186265 -0.0477879 -0.00252135 -0.0432839
HG00672 HG00672 0.0202401 -0.0187402 -0.0390157 0.00674269 -0.0333113
HG00674 HG00674 0.0173393 -0.0174645 0.0173884 -0.00104987 0.017691
HG00675 HG00675 0.0148175 -0.0196511 0.00765553 -0.00400386 0.017758
HG00683 HG00683 0.0157357 -0.0171962 -0.024417 0.00324776 -0.0290155
HG00684 HG00684 0.0146981 -0.0193296 -0.0372212 -0.00152051 -0.0277636
HG00689 HG00689 0.0162329 -0.0178257 -0.0410733 -0.00812761 -0.0559644
HG00690 HG00690 0.0211303 -0.0165463 -0.0405099 0.00137495 -0.0249161
HG00692 HG00692 0.0189453 -0.0165822 -0.0357346 -0.00135214 -0.0267889
HG00693 HG00693 0.0137089 -0.0220554 -0.0317577 0.00471914 -0.0286475
HG00698 HG00698 0.0157744 -0.0176303 -0.0373204 0.0115731 -0.0391041
HG00699 HG00699 0.0127873 -0.025524 -0.0397781 0.00424775 -0.0335898
HG00701 HG00701 0.0114483 -0.0241796 -0.0322322 -0.00364562 -0.024274
HG00704 HG00704 0.0155356 -0.0200882 -0.0382158 0.00130378 -0.0258256
HG00705 HG00705 0.0168196 -0.0223205 -0.0326992 -0.00326398 -0.029382
HG00707 HG00707 0.0180083 -0.0191995 -0.028822 0.00532547 -0.033061
HG00708 HG00708 0.0161788 -0.020169 -0.0445859 -0.0006983 -0.0420611
HG00717 HG00717 0.0156162 -0.0174351 0.014984 -0.0117918 0.00514171
HG00728 HG00728 0.019989 -0.0112605 0.0121442 -0.0001066 0.0149276
HG00729 HG00729 0.0196101 -0.00863401 0.0211817 -0.0109463 0.0201183
HG00759 HG00759 0.0568097 0.0222365 0.0106717 0.0465703 0.0148235
HG00766 HG00766 0.0613949 0.0312924 0.0174391 0.0536221 -0.0066292
HG00844 HG00844 0.0609056 0.0262618 0.00465309 0.0498843 -0.00841239
HG00851 HG00851 0.0627888 0.0277551 0.0112741 0.0896994 -0.0173857
HG00864 HG00864 0.0554391 0.0276116 0.0038262 0.0293426 0.00405978
HG00867 HG00867 0.0576752 0.0302588 0.00980535 0.0506966 -0.00368399
HG00879 HG00879 0.0559127 0.0280748 -0.00439928 0.0527766 -0.00684098
HG00881 HG00881 0.0621029 0.0289417 0.0154575 0.093208 -0.0155142
HG00956 HG00956 0.0492283 0.0204076 0.0162771 0.0387848 0.00131109
HG00978 HG00978 0.0471566 0.0172164 0.00984498 0.0154138 0.00197485
HG00982 HG00982 0.0588558 0.0229356 0.000615974 0.0344413 -0.0107124
HG01028 HG01028 0.0573132 0.0213812 0.00895983 0.0450784 -0.00441652
HG01029 HG01029 0.0594391 0.0205626 0.00621924 0.0425094 0.000273426
HG01031 HG01031 0.0589625 0.0280112 -0.0121075 0.0494163 0.00423682
HG01046 HG01046 0.0601461 0.024734 0.00369104 0.0389178 0.0192363
HG01595 HG01595 0.0406255 0.0132747 0.00201385 -0.0281785 0.011039
HG01596 HG01596 0.0438317 0.0201333 0.005736 -0.0345695 0.0238267
HG01597 HG01597 0.0447509 0.0165478 0.000195471 -0.0342391 0.0224395
HG01598 HG01598 0.0424633 0.0194272 -0.00182163 -0.0387755 0.0194878
HG01599 HG01599 0.0425028 0.0135328 -0.0341335 -0.0382443 -0.0321105
HG01600 HG01600 0.0408037 0.00767115 -0.0421504 -0.0215292 -0.00817018
HG01794 HG01794 0.0567926 0.0211335 0.00674164 0.0336237 0.00111467
HG01795 HG01795 0.0555203 0.0261926 0.00295394 0.0217866 0.000515626
HG01796 HG01796 0.0589773 0.0262107 0.00517908 0.0427322 -0.0110605
HG01797 HG01797 0.0612488 0.0293891 -0.000929519 0.0284689 -0.00797079
HG01798 HG01798 0.0107992 -0.0229482 0.002163 0.00998237 0.00674262
HG01799 HG01799 0.0569185 0.0243983 0.00273958 0.0411334 -0.00654706
HG01800 HG01800 0.055434 0.0231693 0.00239878 0.0400643 0.00233357
HG01801 HG01801 0.0607373 0.0258482 0.0100441 0.055565 0.0302571
HG01802 HG01802 0.0500464 0.0196492 0.00573329 0.0294954 0.00558434
HG01804 HG01804 0.0587686 0.0274716 0.00299311 0.029199 -0.010714
HG01805 HG01805 0.0569817 0.0274449 0.00690201 0.0277694 0.0143071
HG01806 HG01806 0.0569487 0.0252537 0.00401984 0.0329711 0.00545737
HG01807 HG01807 0.0595872 0.0293457 -8.58255e-05 0.0396395 -0.000571687
HG01808 HG01808 0.057809 0.0312243 0.00960454 0.0478953 -1.57088e-05
HG01809 HG01809 0.0567678 0.0246317 -0.00383614 0.0429983 -0.00968794
HG01810 HG01810 0.0585697 0.0266479 0.00114797 0.0405921 -0.00814901
HG01811 HG01811 0.0613594 0.0258844 0.0102138 0.0427678 0.002009
HG01812 HG01812 0.0594607 0.0250224 0.00284052 0.0337446 -0.00814227
HG01813 HG01813 0.051807 0.0175053 0.00504516 0.0389653 -0.0165212
HG01815 HG01815 0.0582439 0.0256986 0.00564253 0.0314036 -0.011198
HG01817 HG01817 0.0571702 0.0260866 -0.000464646 0.0275852 -0.00102755
HG01840 HG01840 0.0389352 0.0125445 -0.0225133 -0.0234091 -0.0107793
HG01841 HG01841 0.0462731 0.0176539 -0.027622 -0.0310704 -0.00327963
HG01842 HG01842 0.0462186 0.0136709 -0.0343403 -0.0331964 -0.0201914
HG01843 HG01843 0.0446804 0.0145136 -0.0221559 -0.0349314 -0.0295463
HG01844 HG01844 0.0429892 0.0143358 -0.0349451 -0.0365757 -0.0263826
HG01845 HG01845 0.046877 0.0103783 -0.0463013 -0.0376694 -0.0561796
HG01846 HG01846 0.0449438 0.0145903 -0.0238216 -0.0386303 -0.0181115
HG01847 HG01847 0.0490779 0.016466 -0.0326046 -0.0363306 -0.0388103
HG01848 HG01848 0.0428332 0.0127105 -0.0274985 -0.0321623 -0.0194407
HG01849 HG01849 0.0474218 0.0175597 -0.0311465 -0.0303259 -0.0374335
HG01850 HG01850 0.0426621 0.0148053 -0.0257173 -0.0433718 -0.0176931
HG01851 HG01851 0.0482069 0.0137862 -0.0304336 -0.0407613 -0.0245611
HG01852 HG01852 0.0457798 0.0142905 -0.0519464 -0.0417626 -0.0477652
HG01853 HG01853 0.0460632 0.0168344 -0.0472142 -0.0473072 -0.0460064
HG01855 HG01855 0.0430747 0.0167475 -0.0441539 -0.0469984 -0.0468299
HG01857 HG01857 0.0457309 0.0139818 -0.0415936 -0.0347447 -0.026156
HG01858 HG01858 0.0456178 0.0133194 -0.0444259 -0.0419689 -0.0410225
HG01859 HG01859 0.0449954 0.0158379 -0.0399999 -0.0321738 -0.0413473
HG01860 HG01860 0.0513667 0.0220431 -0.00573611 -0.0310692 -0.00389771
HG01861 HG01861 0.0402916 0.00863118 -0.00624308 -0.0246799 -0.00807381
HG01862 HG01862 0.0387931 0.0094795 0.0114613 -0.0250619 0.0107069
HG01863 HG01863 0.0413074 0.0145726 0.00447022 -0.0450841 0.00842194
HG01864 HG01864 0.0424124 0.0179544 0.0141343 -0.0390296 0.0191049
HG01865 HG01865 0.0458027 0.0201939 0.00576774 -0.0349902 0.00904263
HG01867 HG01867 0.0440535 0.0221214 0.00545616 -0.0364704 0.017478
HG01868 HG01868 0.0458036 0.0169972 0.00781445 -0.0358748 0.0202074
HG01869 HG01869 0.0454515 0.0192913 0.000482941 -0.0386775 0.0107173
HG01870 HG01870 0.0459519 0.021923 0.0188084 -0.0560912 0.0359909
HG01871 HG01871 0.044807 0.0207272 0.0198277 -0.0522293 0.0273242
HG01872 HG01872 0.0359188 0.00572906 0.0195052 -0.0513382 0.0324157
HG01873 HG01873 0.0447391 0.0236741 0.0233642 -0.0601218 0.0339965
HG01874 HG01874 0.0462194 0.0177659 0.0243457 -0.0584336 0.0356889
HG01878 HG01878 0.0438172 0.0234091 0.0155585 -0.0497664 0.0228899
HG02016 HG02016 0.0461552 0.0296283 0.00598047 -0.0455819 0.0171287
HG02017 HG02017 0.0430967 0.0226688 0.0106785 -0.0372284 0.0150325
HG02019 HG02019 0.0424986 0.0182555 0.00832874 -0.0320844 0.00807704
HG02020 HG02020 0.04526 0.0216954 0.00550679 -0.0417873 0.0173334
HG02023 HG02023 0.0474026 0.0220006 0.0036197 -0.0436457 0.0115376
HG02025 HG02025 0.0486499 0.0178493 0.01071 -0.0463009 0.0269914
HG02026 HG02026 0.0493026 0.0221117 0.015666 -0.0437544 0.021048
HG02028 HG02028 0.0447509 0.0169389 8.17205e-06 -0.0384192 0.0079707
HG02029 HG02029 0.027609 -0.00495513 0.0139651 -0.005628 0.0253363
HG02031 HG02031 0.0414786 0.0118463 0.00179821 -0.0088724 -0.0101899
HG02032 HG02032 0.0317439 -0.00819479 0.00198121 -0.0122108 -0.0138651
HG02035 HG02035 0.0439027 0.0186958 0.0141351 -0.0338935 0.00766306
HG02040 HG02040 0.0425499 0.0183448 0.00567896 -0.0341676 0.0141454
HG02047 HG02047 0.0449796 0.024518 0.0129437 -0.04284 0.0141539
HG02048 HG02048 0.0452333 0.0195443 0.0274552 -0.0556127 0.0280636
HG02049 HG02049 0.046329 0.0270834 0.0297887 -0.0632363 0.0267295
HG02050 HG02050 0.0488562 0.0156015 -0.00403986 -0.0302448 0.00104807
HG02057 HG02057 0.0456164 0.0221272 0.0183026 -0.0505356 0.0215301
HG02058 HG02058 0.0427215 0.0249051 0.017411 -0.0495658 0.0389377
HG02060 HG02060 0.0467733 0.0213971 -0.0301388 -0.0478455 -0.0387026
HG02061 HG02061 0.044219 0.00978795 -0.0361313 -0.0473052 -0.0443693
HG02064 HG02064 0.0477915 0.0169402 -0.0343345 -0.0372239 -0.0318123
HG02067 HG02067 0.0466664 0.017005 -0.0357115 -0.0454596 -0.0383212
HG02069 HG02069 0.0446236 0.0264139 0.026914 -0.063138 0.0270916
HG02070 HG02070 0.0444094 0.0243549 0.0123617 -0.0528593 0.0335767
HG02072 HG02072 0.0459731 0.0217137 0.024669 -0.054705 0.0254217
HG02073 HG02073 0.0445203 0.016906 0.0188812 -0.0390083 0.0254661
HG02075 HG02075 0.046107 0.0160908 0.00813667 -0.0603731 0.0126032
HG02076 HG02076 0.0469963 0.0180685 0.0137808 -0.0388796 0.0147203
HG02078 HG02078 0.049407 0.022784 0.0193322 -0.0465429 0.0204825
HG02079 HG02079 0.0464337 0.0164145 0.00950225 -0.0436315 0.0214933
HG02081 HG02081 0.0445039 0.0186283 0.0168326 -0.0447196 0.0251462
HG02082 HG02082 0.0258149 -0.00454005 0.0150762 -0.0282147 0.0189438
HG02084 HG02084 0.0451208 0.0200749 0.021668 -0.0392515 0.0235938
HG02085 HG02085 0.0475971 0.0151101 0.0186921 -0.0497578 0.0143562
HG02086 HG02086 0.0453322 0.0168258 0.0111807 -0.0451882 0.0157437
HG02087 HG02087 0.0445594 0.0178037 0.00559601 -0.0511335 0.0170691
HG02088 HG02088 0.0478261 0.0177734 0.0094354 -0.0359716 0.0116632
HG02113 HG02113 0.045271 0.0147406 0.0176701 -0.055106 0.0219609
HG02116 HG02116 0.043267 0.0183966 0.0136028 -0.0351154 0.0260642
HG02121 HG02121 0.0457353 0.021847 0.0133787 -0.0352191 0.0216334
HG02122 HG02122 0.0225789 -0.0068715 0.019626 -0.015654 0.00694822
HG02127 HG02127 0.0464265 0.0193797 0.0175402 -0.0519816 0.0136939
HG02128 HG02128 0.0450631 0.0204822 0.00607306 -0.0569253 0.00588927
HG02130 HG02130 0.0444911 0.0157082 -0.0361995 -0.0440682 -0.0251406
HG02131 HG02131 0.0482318 0.0270242 -0.0247477 -0.0362211 -0.0271393
HG02133 HG02133 0.0488669 0.0175845 -0.0354037 -0.038157 -0.0376874
HG02134 HG02134 0.0449912 0.0119953 -0.0437571 -0.0481154 -0.0395888
HG02136 HG02136 0.0483539 0.0172376 -0.0393034 -0.0438294 -0.0305295
HG02137 HG02137 0.0488174 0.0138723 -0.0375738 -0.0327076 -0.0442012
HG02138 HG02138 0.0459974 0.0189536 0.0151577 -0.048036 0.0206187
HG02139 HG02139 0.0446425 0.019993 0.0115826 -0.0408054 0.0147114
HG02140 HG02140 0.0429904 0.0191133 0.0100235 -0.0486502 0.0192347
HG02141 HG02141 0.0436288 0.0176954 0.013786 -0.0500328 0.0265359
HG02142 HG02142 0.038455 0.0152086 0.0039012 -0.0413007 0.0166079
HG02151 HG02151 0.0603819 0.0305802 0.0141946 0.0449995 0.015426
HG02152 HG02152 0.0545254 0.0258673 0.0108193 0.029213 0.0113427
HG02153 HG02153 0.0493392 0.0251394 0.0145979 0.0104511 0.0247438
HG02154 HG02154 0.0568369 0.0274607 0.0160619 0.0349717 0.0341551
HG02155 HG02155 0.0509353 0.0277854 0.00507463 0.0186722 0.0130602
HG02156 HG02156 0.0549353 0.0329699 0.0216712 0.0580309 0.0604247
HG02164 HG02164 0.0492852 0.0220775 0.0169372 0.00870212 0.0114428
HG02165 HG02165 0.045376 0.0175603 0.0120854 0.00257319 0.00798447
HG02166 HG02166 0.0565916 0.0286496 0.0152548 0.0243854 0.0209706
HG02178 HG02178 0.0581877 0.0312508 0.0109712 0.0174564 0.011003
HG02179 HG02179 0.0510615 0.027838 0.0100835 0.0138806 0.0166252
HG02180 HG02180 0.0536458 0.0261509 0.0214195 0.0267732 0.0108539
HG02181 HG02181 0.0585783 0.0297957 0.0243723 0.0280227 0.0195273
HG02182 HG02182 0.0561297 0.0313335 0.0172529 0.0531921 0.0424455
HG02184 HG02184 0.05615 0.0271653 0.0120369 0.0208432 0.0228314
HG02185 HG02185 0.0506566 0.0219599 0.00784968 0.0204974 0.0141381
HG02186 HG02186 0.0530058 0.0276472 0.0200163 0.0184714 0.0124166
HG02187 HG02187 0.054097 0.0233071 0.00850468 0.0171662 0.0185865
HG02188 HG02188 0.0568156 0.0314884 0.0158399 0.0321744 0.0303152
HG02190 HG02190 0.0565286 0.0299847 0.00953482 0.0225113 0.000411661
HG02250 HG02250 0.0604672 0.0289689 0.00917554 0.0478784 -0.00517856
HG02351 HG02351 0.0566982 0.0286389 0.00345498 0.0187571 0.0018336
HG02353 HG02353 0.0615106 0.0301987 0.0131216 0.0621911 -0.0165365
HG02355 HG02355 0.0582682 0.0269522 0.00401833 0.024985 -0.00758844
HG02356 HG02356 0.0616212 0.0289126 -0.00283797 0.0521809 -0.0149035
HG02360 HG02360 0.0525303 0.0267875 0.00126487 0.0251235 0.000309492
HG02364 HG02364 0.0591665 0.0282555 0.0062364 0.0324747 -0.00370397
HG02367 HG02367 0.0617439 0.0279836 0.00490037 0.0253071 -0.00298225
HG02371 HG02371 0.0580792 0.0257247 -0.00394965 0.0254023 0.00107422
HG02373 HG02373 0.0589979 0.0277853 -0.0011099 0.0449748 0.00194245
HG02374 HG02374 0.0551218 0.0207961 0.00706751 0.0361341 0.00689364
HG02375 HG02375 0.0625679 0.03215 -0.00121967 0.0448851 -0.0185807
HG02379 HG02379 0.060568 0.032934 0.0103674 0.0678118 -0.025892
HG02380 HG02380 0.0625563 0.0325951 0.01847 0.0959164 0.0772123
HG02382 HG02382 0.0593918 0.028106 0.00239469 0.0292321 -0.00643369
HG02383 HG02383 0.0639609 0.0279374 -0.00253871 0.0408871 -0.00202691
HG02384 HG02384 0.0598915 0.0266976 0.00514766 0.0250366 -0.00363077
HG02385 HG02385 0.0550279 0.0275602 0.00756704 0.0449239 -0.0166091
HG02386 HG02386 0.0462549 0.0132266 0.0130597 0.0349257 -0.00637633
HG02389 HG02389 0.0577908 0.0262564 0.00730094 0.0354973 -0.000816376
HG02390 HG02390 0.0599935 0.0265037 0.00998795 0.026609 -0.00902637
HG02391 HG02391 0.05828 0.0279738 0.00703618 0.03328 -0.000849822
HG02392 HG02392 0.0569366 0.0271473 0.00620192 0.0326886 0.00508202
HG02394 HG02394 0.0588553 0.0283167 0.00412108 0.0362025 0.00593949
HG02395 HG02395 0.0571455 0.0285673 0.00382585 0.037704 -0.0053621
HG02396 HG02396 0.0615941 0.0314142 0.00733024 0.0185687 -0.00631155
HG02397 HG02397 0.0538976 0.0262482 0.00454739 0.0276794 0.00426002
HG02398 HG02398 0.0596989 0.0240986 0.00858608 0.0263287 -0.0172373
HG02399 HG02399 0.0581359 0.0261429 0.00558241 0.0207495 -0.00414538
HG02401 HG02401 0.0569255 0.0275728 0.00792636 0.0345635 0.00845975
HG02402 HG02402 0.0609207 0.0275327 0.00524439 0.0416066 -0.00717502
HG02406 HG02406 0.0546209 0.023173 0.00262825 0.0275152 -0.00411892
HG02407 HG02407 0.0566967 0.0228404 0.00888356 0.0281567 0.00111055
HG02408 HG02408 0.0605065 0.0337898 0.0146989 0.0225615 0.0205424
HG02409 HG02409 0.0571096 0.0293145 0.0111829 0.0352102 -0.00566597
HG02410 HG02410 0.0552674 0.0335879 0.0158257 0.0182881 0.0184761
HG02512 HG02512 0.044226 0.0185459 0.0111998 -0.0385468 0.0206398
HG02513 HG02513 0.0527975 0.0245205 0.00502103 -0.0174391 0.0131582
HG02521 HG02521 0.0431516 0.0213308 0.00853345 -0.0379376 0.0203479
HG02522 HG02522 0.0465455 0.0183254 -0.000202015 -0.0495441 0.0297971
NA18525 NA18525 -0.0117203 -0.0393379 0.0217184 -0.0130093 0.0249065
NA18526 NA18526 0.00220282 -0.037731 0.0017232 0.00501777 -0.00139993
NA18528 NA18528 -0.0293954 -0.0500699 0.0359277 -0.00820172 0.0270291
NA18530 NA18530 -0.0241418 -0.0473564 0.000768198 0.00290562 0.00286361
NA18531 NA18531 -0.0309595 -0.0531686 0.0295641 -0.0183702 0.0269317
NA18532 NA18532 -0.014934 -0.0435438 0.00486954 0.0120805 0.0105384
NA18533 NA18533 -0.00140709 -0.0339984 -0.0416709 -0.0155407 -0.000965301
NA18534 NA18534 -0.0215394 -0.0501543 0.00370506 0.00351285 0.00430074
NA18535 NA18535 -0.0306697 -0.0479191 -0.0153581 0.00654715 0.0279358
NA18536 NA18536 -0.002447 -0.0412596 0.00520411 0.0104415 0.0102713
NA18537 NA18537 -0.0229685 -0.0415439 -0.00130269 0.00629807 0.00178621
NA18538 NA18538 -0.03282 -0.0500267 -0.0289638 -0.0112367 0.0264423
NA18539 NA18539 -0.0346184 -0.0517695 -0.0202734 0.000372763 0.0181518
NA18541 NA18541 -0.0298874 -0.0555472 -0.00721071 -0.00195806 0.0128028
NA18542 NA18542 -0.0309818 -0.0548976 0.013742 0.00993618 0.00650195
NA18543 NA18543 0.00378257 -0.0321676 0.00896774 0.00839759 -0.00719925
NA18544 NA18544 -0.0262381 -0.0543976 0.0203752 0.00761287 -0.00675186
NA18545 NA18545 0.00388747 -0.0307882 0.00815438 0.013073 -0.00187035
NA18546 NA18546 -0.0292621 -0.0539044 0.0191125 0.00521442 0.017821
NA18547 NA18547 -0.025806 -0.0553533 0.022108 0.00767917 0.0188346
NA18548 NA18548 -0.0276503 -0.0569001 0.0170481 0.00811728 0.00811554
NA18549 NA18549 0.0054634 -0.0274093 0.0033168 0.0102416 -0.00786688
NA18550 NA18550 0.0252349 -0.00500478 -0.0123495 0.0101918 0.0139765
NA18552 NA18552 -0.00972836 -0.0397683 0.0108298 0.0055986 0.013888
NA18553 NA18553 -0.029816 -0.0367733 -0.0281629 -0.0151733 0.0227949
NA18555 NA18555 -0.00384703 -0.0370425 0.00751277 0.00843421 0.0130861
NA18557 NA18557 -0.0295802 -0.0554714 0.0101616 0.013841 4.69936e-05
NA18558 NA18558 -0.0268757 -0.0522233 0.00741756 0.00964854 -0.00482605
NA18559 NA18559 -0.0156219 -0.0464367 0.00851266 0.0100713 0.000307306
NA18560 NA18560 0.0012232 -0.0302144 -0.0264758 -0.00534245 -0.0010538
NA18561 NA18561 -0.0234161 -0.0549507 0.0161167 0.00320791 0.0104638
NA18562 NA18562 -0.0267594 -0.0540197 0.0114742 0.00344203 0.01185
NA18563 NA18563 -0.0271655 -0.0572161 0.00277928 0.00440266 0.0035898
NA18564 NA18564 -0.0308107 -0.0570595 0.0118664 0.00851784 0.0268703
NA18565 NA18565 0.00122544 -0.0285445 -0.0160777 0.00155121 0.0187508
NA18566 NA18566 -0.0264828 -0.0528775 0.0191227 0.00906918 0.00764238
NA18567 NA18567 -0.0274282 -0.0540853 -0.0149767 0.00493362 0.0212883
NA18570 NA18570 -0.000637967 -0.0371038 0.00846723 0.00620383 -0.00266931
NA18571 NA18571 0.00545396 -0.0285602 -0.00191034 0.00345084 0.00595253
